,year,metro,id,sex,age,number,education,marriage,asset,debt,income,income_d,industry,job,house,education_year
7240,2020,G1,410000302,1,57,4,6,2,46350,23000,5273,4362,F,2,1,16
7241,2020,G1,410000312,1,44,4,5,2,57500,3500,7605,6543,H,8,1,14
7242,2020,G1,410000322,2,53,2,4,1,2580,2572,2538,1858,F,7,3,12
7243,2020,G1,410000332,2,35,1,6,1,3720,0,2551,2434,P,2,2,16
7244,2020,G1,410000342,2,36,1,4,1,2496,700,3501,3175,S,3,3,12
7245,2020,G1,410000362,2,32,1,4,1,29880,0,2548,2122,H,9,1,12
7246,2020,G1,410000372,1,43,3,4,2,470,2000,1472,1349,H,9,3,12
7247,2020,G1,410000382,1,50,1,4,1,120,0,1500,1499,,,3,12
7248,2020,G1,410000392,1,37,3,7,2,41660,0,11886,10051,O,2,2,18
7249,2020,G1,410600121,1,46,4,6,2,126805,40358,27978,22095,P,2,1,16
7250,2020,G1,410600141,1,67,3,4,2,25620,2800,3952,3665,,,1,12
7251,2020,G1,410600161,2,49,2,4,2,10000,623,3606,3358,C,7,3,12
7252,2020,G1,410600181,1,64,1,3,1,1010,400,1191,1190,,,3,9
7253,2020,G2,410600211,1,79,2,3,2,24876,0,1742,1667,Q,9,1,9
7254,2020,G2,410600221,2,72,1,2,3,2496,0,982,982,,,5,6
7255,2020,G2,410600251,1,58,5,4,2,53769,17100,10936,9269,,,1,12
7256,2020,G2,410600261,1,57,3,6,2,42653,16000,6850,4315,F,8,1,16
7257,2020,G2,410600271,2,64,1,2,3,48797,11420,3945,3541,,,1,6
7258,2020,G2,410600281,1,87,2,6,2,28434,3000,805,792,,,1,16
7259,2020,G1,410600331,1,72,2,7,2,102850,62680,12556,8278,Q,2,5,18
7260,2020,G1,410600341,1,66,2,4,2,33680,0,4117,3708,N,9,1,12
7261,2020,G1,410600351,1,43,5,7,2,122194,21500,9782,6899,C,2,1,18
7262,2020,G1,410600361,2,55,4,6,2,59540,0,8224,7057,P,2,1,16
7263,2020,G1,410600381,1,56,5,4,2,193792,110420,35896,30173,I,5,1,12
7264,2020,G1,410601101,1,71,2,4,2,107416,51000,5288,4796,R,8,1,12
7265,2020,G1,410700111,1,50,3,6,2,126500,72700,5780,5229,N,1,2,16
7266,2020,G1,410700121,1,49,2,4,2,24044,0,4390,3186,C,8,1,12
7267,2020,G1,410700131,1,33,1,6,1,3110,1600,2211,2142,I,1,2,16
7268,2020,G1,410700141,2,53,3,6,4,6922,0,2297,2200,Q,4,3,16
7269,2020,G1,410700151,1,57,2,8,2,72400,16000,13825,10739,P,2,2,21
7270,2020,G1,410700171,1,82,2,1,2,24500,0,1551,1450,,,1,0
7271,2020,G1,410700181,1,38,3,4,2,31860,15724,1555,1192,F,9,1,12
7272,2020,G2,410700201,1,83,2,4,2,12500,0,1431,1427,,,2,12
7273,2020,G1,410700211,1,77,2,4,2,530,0,1321,1321,,,3,12
7274,2020,G2,410700221,2,85,1,1,3,2010,0,464,463,,,1,0
7275,2020,G2,410700231,1,54,4,6,2,73443,14396,15173,12334,H,3,1,16
7276,2020,G2,410700251,1,76,2,2,2,4614,1736,1916,1775,Q,9,1,6
7277,2020,G2,410700261,2,87,1,1,3,13300,400,742,736,,,1,0
7278,2020,G1,410700331,1,55,4,6,2,104842,7000,12975,8903,C,2,1,16
7279,2020,G1,410700351,2,44,1,4,4,12780,3300,1983,1296,I,4,1,12
7280,2020,G1,410700381,2,36,3,4,2,14216,9600,5960,5351,C,9,2,12
7281,2020,G1,410700391,1,48,3,6,2,41240,20000,6918,4613,M,2,1,16
7282,2020,G1,410701101,1,63,2,4,2,1020,0,2191,2039,H,8,3,12
7283,2020,G1,410701131,1,33,2,5,2,18420,0,4208,3472,I,4,2,14
7284,2020,G1,410800101,2,37,3,6,2,171640,75000,8708,6758,H,2,2,16
7285,2020,G1,410800131,1,36,2,6,2,13104,3600,14383,11933,K,3,3,16
7286,2020,G1,410800171,2,32,2,6,1,28596,0,4502,4154,G,3,2,16
7287,2020,G1,410800181,1,63,4,7,2,194600,0,17838,15420,,,1,18
7288,2020,G2,410800201,1,60,5,6,3,4783,900,4479,4201,N,9,1,16
7289,2020,G2,410800211,2,49,3,3,3,2098,500,1664,1664,,,3,9
7290,2020,G2,410800221,1,60,2,4,2,36832,0,7769,6591,,,1,12
7291,2020,G2,410800231,1,62,2,2,2,4194,864,2486,2375,C,7,5,6
7292,2020,G2,410800251,1,67,2,2,2,8910,0,1024,997,,,1,6
7293,2020,G2,410800291,1,55,5,4,2,9692,1520,5506,5224,F,7,2,12
7294,2020,G1,410800311,2,25,1,6,1,2192,600,4582,4027,Q,2,3,16
7295,2020,G1,410800331,1,43,4,6,2,20543,300,9307,8019,J,2,3,16
7296,2020,G1,410800351,1,59,2,3,4,1564,3000,1172,401,F,9,2,9
7297,2020,G1,410800381,1,50,1,4,4,1752,3440,1948,1911,N,7,3,12
7298,2020,G1,410800391,2,69,2,1,3,3014,0,711,709,,,5,0
7299,2020,G1,410801101,1,41,1,4,1,8380,590,2583,2433,J,2,2,12
7300,2020,G1,410900111,2,56,1,6,1,121640,55500,4560,3437,G,5,2,16
7301,2020,G1,410900141,1,27,1,6,1,10910,6070,2847,2559,C,5,2,16
7302,2020,G1,410900161,1,59,3,6,2,138780,30000,5064,4265,,,2,16
7303,2020,G1,410900191,1,62,1,7,4,8400,0,4395,3704,M,2,2,18
7304,2020,G2,410900211,2,79,1,3,3,17030,0,882,848,,,1,9
7305,2020,G2,410900221,1,70,2,4,2,17255,3000,1412,1287,,,1,12
7306,2020,G2,410900241,2,75,1,2,3,6650,0,893,882,Q,9,1,6
7307,2020,G2,410900251,1,41,4,6,2,69732,25000,12400,10154,C,2,2,16
7308,2020,G2,410900261,1,62,2,3,2,27280,0,3631,3320,,,1,9
7309,2020,G2,410900281,1,49,2,4,1,9150,2600,1951,1732,F,9,1,12
7310,2020,G2,410900291,2,28,1,5,1,4260,0,2410,2168,S,4,3,14
7311,2020,G1,410900341,1,68,3,4,2,16050,5200,6052,5423,H,8,1,12
7312,2020,G1,410900351,1,41,2,6,2,35210,2000,8389,6368,O,4,2,16
7313,2020,G1,410900361,2,56,1,4,4,18000,0,972,639,N,9,1,12
7314,2020,G1,410900371,1,46,2,4,2,72950,2000,8527,7519,L,5,1,12
7315,2020,G1,410900381,1,44,4,7,2,14540,18700,8745,5644,P,2,2,18
7316,2020,G1,410900391,1,49,4,4,2,278960,14000,15230,12450,G,5,1,12
7317,2020,G1,410901101,1,38,4,6,2,49830,32000,6375,6196,A,6,5,16
7318,2020,G1,411000152,2,42,3,4,4,36650,2000,4418,3830,G,5,1,12
7319,2020,G1,411000162,1,75,3,4,2,30140,4000,6708,5520,H,8,1,12
7320,2020,G1,411000182,2,54,3,3,4,325,2000,4427,3994,I,9,3,9
7321,2020,G2,411000202,2,69,1,3,3,14115,0,1064,891,,,1,9
7322,2020,G2,411000212,2,27,1,5,1,2513,0,2790,2674,,,3,14
7323,2020,G2,411000222,2,83,2,2,3,63266,4990,4595,4174,,,2,6
7324,2020,G2,411000242,2,75,1,1,3,50,0,785,785,,,5,0
7325,2020,G2,411000252,1,59,3,1,1,3859,0,2014,2006,,,1,0
7326,2020,G2,411000262,2,54,1,7,1,2340,0,2291,2129,G,5,3,18
7327,2020,G2,411000272,1,32,4,4,2,8607,0,1405,1237,C,8,1,12
7328,2020,G2,411000282,1,44,1,5,1,13190,5100,2681,2251,N,3,1,14
7329,2020,G2,411000292,1,36,3,5,2,99120,61000,10744,8275,I,4,1,14
